Google Dengue Trends - Singapore
Copyright 2015 Google Inc.

Exported data may be used for any purpose, subject to the Google Terms of Service (http://www.google.com/accounts/TOS?hl=en_US).
If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Dengue Trends (http://www.google.org/denguetrends)".

Each week begins on the Sunday (Pacific Time) indicated for the row.
Data for the current week will be updated each day until Saturday (Pacific Time).
Note: To open these files in a spreadsheet application, we recommend you save each text file as a CSV spreadsheet.
For more information, please visit http://www.google.org/denguetrends

Date,Singapore
2002-12-29,0.059
2003-01-05,0.059
2003-01-12,0.238
2003-01-19,0.175
2003-01-26,0.164
2003-02-02,0.163
2003-02-09,0.150
2003-02-16,0.144
2003-02-23,0.142
2003-03-02,0.129
2003-03-09,0.130
2003-03-16,0.120
2003-03-23,0.115
2003-03-30,0.104
2003-04-06,0.107
2003-04-13,0.101
2003-04-20,0.102
2003-04-27,0.128
2003-05-04,0.132
2003-05-11,0.140
2003-05-18,0.151
2003-05-25,0.175
2003-06-01,0.161
2003-06-08,0.150
2003-06-15,0.163
2003-06-22,0.143
2003-06-29,0.132
2003-07-06,0.120
2003-07-13,0.129
2003-07-20,0.128
2003-07-27,0.123
2003-08-03,0.112
2003-08-10,0.131
2003-08-17,0.127
2003-08-24,0.116
2003-08-31,0.111
2003-09-07,0.109
2003-09-14,0.113
2003-09-21,0.123
2003-09-28,0.120
2003-10-05,0.108
2003-10-12,0.108
2003-10-19,0.119
2003-10-26,0.174
2003-11-02,0.195
2003-11-09,0.157
2003-11-16,0.126
2003-11-23,0.116
2003-11-30,0.129
2003-12-07,0.112
2003-12-14,0.109
2003-12-21,0.104
2003-12-28,0.117
2004-01-04,0.115
2004-01-11,0.109
2004-01-18,0.106
2004-01-25,0.108
2004-02-01,0.109
2004-02-08,0.145
2004-02-15,0.194
2004-02-22,0.178
2004-02-29,0.172
2004-03-07,0.161
2004-03-14,0.164
2004-03-21,0.135
2004-03-28,0.170
2004-04-04,0.149
2004-04-11,0.127
2004-04-18,0.118
2004-04-25,0.127
2004-05-02,0.150
2004-05-09,0.138
2004-05-16,0.120
2004-05-23,0.161
2004-05-30,0.164
2004-06-06,0.137
2004-06-13,0.132
2004-06-20,0.128
2004-06-27,0.145
2004-07-04,0.134
2004-07-11,0.154
2004-07-18,0.160
2004-07-25,0.194
2004-08-01,0.188
2004-08-08,0.205
2004-08-15,0.193
2004-08-22,0.178
2004-08-29,0.164
2004-09-05,0.193
2004-09-12,0.165
2004-09-19,0.208
2004-09-26,0.178
2004-10-03,0.174
2004-10-10,0.188
2004-10-17,0.186
2004-10-24,0.165
2004-10-31,0.177
2004-11-07,0.187
2004-11-14,0.195
2004-11-21,0.182
2004-11-28,0.193
2004-12-05,0.185
2004-12-12,0.185
2004-12-19,0.187
2004-12-26,0.186
2005-01-02,0.167
2005-01-09,0.194
2005-01-16,0.180
2005-01-23,0.184
2005-01-30,0.251
2005-02-06,0.271
2005-02-13,0.236
2005-02-20,0.291
2005-02-27,0.184
2005-03-06,0.165
2005-03-13,0.153
2005-03-20,0.194
2005-03-27,0.204
2005-04-03,0.202
2005-04-10,0.181
2005-04-17,0.172
2005-04-24,0.177
2005-05-01,0.187
2005-05-08,0.181
2005-05-15,0.178
2005-05-22,0.144
2005-05-29,0.162
2005-06-05,0.175
2005-06-12,0.181
2005-06-19,0.204
2005-06-26,0.232
2005-07-03,0.221
2005-07-10,0.226
2005-07-17,0.250
2005-07-24,0.291
2005-07-31,0.289
2005-08-07,0.247
2005-08-14,0.257
2005-08-21,0.365
2005-08-28,0.402
2005-09-04,0.566
2005-09-11,1.000
2005-09-18,0.839
2005-09-25,0.815
2005-10-02,0.622
2005-10-09,0.401
2005-10-16,0.359
2005-10-23,0.345
2005-10-30,0.324
2005-11-06,0.246
2005-11-13,0.203
2005-11-20,0.164
2005-11-27,0.156
2005-12-04,0.156
2005-12-11,0.146
2005-12-18,0.142
2005-12-25,0.138
2006-01-01,0.140
2006-01-08,0.144
2006-01-15,0.135
2006-01-22,0.132
2006-01-29,0.134
2006-02-05,0.123
2006-02-12,0.127
2006-02-19,0.135
2006-02-26,0.132
2006-03-05,0.129
2006-03-12,0.120
2006-03-19,0.122
2006-03-26,0.121
2006-04-02,0.123
2006-04-09,0.115
2006-04-16,0.111
2006-04-23,0.117
2006-04-30,0.131
2006-05-07,0.118
2006-05-14,0.122
2006-05-21,0.151
2006-05-28,0.131
2006-06-04,0.118
2006-06-11,0.135
2006-06-18,0.153
2006-06-25,0.172
2006-07-02,0.173
2006-07-09,0.144
2006-07-16,0.126
2006-07-23,0.134
2006-07-30,0.113
2006-08-06,0.119
2006-08-13,0.129
2006-08-20,0.119
2006-08-27,0.104
2006-09-03,0.095
2006-09-10,0.107
2006-09-17,0.115
2006-09-24,0.119
2006-10-01,0.135
2006-10-08,0.132
2006-10-15,0.138
2006-10-22,0.139
2006-10-29,0.139
2006-11-05,0.116
2006-11-12,0.108
2006-11-19,0.100
2006-11-26,0.106
2006-12-03,0.111
2006-12-10,0.105
2006-12-17,0.100
2006-12-24,0.105
2006-12-31,0.127
2007-01-07,0.117
2007-01-14,0.107
2007-01-21,0.106
2007-01-28,0.111
2007-02-04,0.110
2007-02-11,0.105
2007-02-18,0.111
2007-02-25,0.117
2007-03-04,0.106
2007-03-11,0.104
2007-03-18,0.108
2007-03-25,0.113
2007-04-01,0.109
2007-04-08,0.111
2007-04-15,0.148
2007-04-22,0.142
2007-04-29,0.191
2007-05-06,0.188
2007-05-13,0.213
2007-05-20,0.287
2007-05-27,0.293
2007-06-03,0.263
2007-06-10,0.284
2007-06-17,0.347
2007-06-24,0.434
2007-07-01,0.413
2007-07-08,0.406
2007-07-15,0.377
2007-07-22,0.330
2007-07-29,0.339
2007-08-05,0.232
2007-08-12,0.214
2007-08-19,0.192
2007-08-26,0.176
2007-09-02,0.192
2007-09-09,0.224
2007-09-16,0.230
2007-09-23,0.186
2007-09-30,0.170
2007-10-07,0.151
2007-10-14,0.126
2007-10-21,0.135
2007-10-28,0.124
2007-11-04,0.120
2007-11-11,0.111
2007-11-18,0.110
2007-11-25,0.116
2007-12-02,0.115
2007-12-09,0.107
2007-12-16,0.116
2007-12-23,0.126
2007-12-30,0.120
2008-01-06,0.138
2008-01-13,0.123
2008-01-20,0.140
2008-01-27,0.140
2008-02-03,0.124
2008-02-10,0.123
2008-02-17,0.122
2008-02-24,0.116
2008-03-02,0.108
2008-03-09,0.106
2008-03-16,0.108
2008-03-23,0.113
2008-03-30,0.109
2008-04-06,0.126
2008-04-13,0.145
2008-04-20,0.139
2008-04-27,0.146
2008-05-04,0.142
2008-05-11,0.137
2008-05-18,0.139
2008-05-25,0.115
2008-06-01,0.113
2008-06-08,0.123
2008-06-15,0.118
2008-06-22,0.124
2008-06-29,0.126
2008-07-06,0.122
2008-07-13,0.133
2008-07-20,0.133
2008-07-27,0.139
2008-08-03,0.122
2008-08-10,0.121
2008-08-17,0.113
2008-08-24,0.121
2008-08-31,0.115
2008-09-07,0.118
2008-09-14,0.108
2008-09-21,0.107
2008-09-28,0.105
2008-10-05,0.112
2008-10-12,0.110
2008-10-19,0.109
2008-10-26,0.105
2008-11-02,0.117
2008-11-09,0.110
2008-11-16,0.109
2008-11-23,0.115
2008-11-30,0.109
2008-12-07,0.104
2008-12-14,0.106
2008-12-21,0.107
2008-12-28,0.115
2009-01-04,0.120
2009-01-11,0.116
2009-01-18,0.120
2009-01-25,0.120
2009-02-01,0.128
2009-02-08,0.113
2009-02-15,0.115
2009-02-22,0.110
2009-03-01,0.101
2009-03-08,0.119
2009-03-15,0.129
2009-03-22,0.130
2009-03-29,0.138
2009-04-05,0.129
2009-04-12,0.133
2009-04-19,0.141
2009-04-26,0.123
2009-05-03,0.115
2009-05-10,0.107
2009-05-17,0.113
2009-05-24,0.117
2009-05-31,0.100
2009-06-07,0.100
2009-06-14,0.095
2009-06-21,0.097
2009-06-28,0.095
2009-07-05,0.099
2009-07-12,0.111
2009-07-19,0.105
2009-07-26,0.100
2009-08-02,0.107
2009-08-09,0.098
2009-08-16,0.098
2009-08-23,0.087
2009-08-30,0.086
2009-09-06,0.084
2009-09-13,0.085
2009-09-20,0.094
2009-09-27,0.091
2009-10-04,0.091
2009-10-11,0.091
2009-10-18,0.094
2009-10-25,0.091
2009-11-01,0.085
2009-11-08,0.086
2009-11-15,0.088
2009-11-22,0.088
2009-11-29,0.090
2009-12-06,0.095
2009-12-13,0.093
2009-12-20,0.089
2009-12-27,0.093
2010-01-03,0.095
2010-01-10,0.104
2010-01-17,0.110
2010-01-24,0.100
2010-01-31,0.097
2010-02-07,0.097
2010-02-14,0.096
2010-02-21,0.098
2010-02-28,0.098
2010-03-07,0.090
2010-03-14,0.089
2010-03-21,0.106
2010-03-28,0.106
2010-04-04,0.113
2010-04-11,0.101
2010-04-18,0.112
2010-04-25,0.116
2010-05-02,0.108
2010-05-09,0.104
2010-05-16,0.102
2010-05-23,0.107
2010-05-30,0.101
2010-06-06,0.102
2010-06-13,0.097
2010-06-20,0.105
2010-06-27,0.104
2010-07-04,0.113
2010-07-11,0.112
2010-07-18,0.112
2010-07-25,0.115
2010-08-01,0.126
2010-08-08,0.127
2010-08-15,0.120
2010-08-22,0.117
2010-08-29,0.119
2010-09-05,0.115
2010-09-12,0.119
2010-09-19,0.113
2010-09-26,0.117
2010-10-03,0.123
2010-10-10,0.109
2010-10-17,0.115
2010-10-24,0.107
2010-10-31,0.113
2010-11-07,0.102
2010-11-14,0.096
2010-11-21,0.098
2010-11-28,0.094
2010-12-05,0.098
2010-12-12,0.101
2010-12-19,0.097
2010-12-26,0.106
2011-01-02,0.106
2011-01-09,0.109
2011-01-16,0.107
2011-01-23,0.111
2011-01-30,0.111
2011-02-06,0.099
2011-02-13,0.089
2011-02-20,0.093
2011-02-27,0.093
2011-03-06,0.093
2011-03-13,0.094
2011-03-20,0.099
2011-03-27,0.100
2011-04-03,0.104
2011-04-10,0.095
2011-04-17,0.090
2011-04-24,0.094
2011-05-01,0.091
2011-05-08,0.088
2011-05-15,0.090
2011-05-22,0.093
2011-05-29,0.102
2011-06-05,0.099
2011-06-12,0.108
2011-06-19,0.104
2011-06-26,0.123
2011-07-03,0.128
2011-07-10,0.129
2011-07-17,0.134
2011-07-24,0.152
2011-07-31,0.151
2011-08-07,0.148
2011-08-14,0.134
2011-08-21,0.119
2011-08-28,0.112
2011-09-04,0.118
2011-09-11,0.110
2011-09-18,0.117
2011-09-25,0.122
2011-10-02,0.112
2011-10-09,0.116
2011-10-16,0.104
2011-10-23,0.104
2011-10-30,0.109
2011-11-06,0.116
2011-11-13,0.102
2011-11-20,0.106
2011-11-27,0.104
2011-12-04,0.104
2011-12-11,0.102
2011-12-18,0.098
2011-12-25,0.101
2012-01-01,0.109
2012-01-08,0.104
2012-01-15,0.102
2012-01-22,0.104
2012-01-29,0.101
2012-02-05,0.097
2012-02-12,0.112
2012-02-19,0.116
2012-02-26,0.109
2012-03-04,0.111
2012-03-11,0.106
2012-03-18,0.109
2012-03-25,0.108
2012-04-01,0.105
2012-04-08,0.104
2012-04-15,0.106
2012-04-22,0.105
2012-04-29,0.101
2012-05-06,0.108
2012-05-13,0.112
2012-05-20,0.108
2012-05-27,0.113
2012-06-03,0.124
2012-06-10,0.112
2012-06-17,0.119
2012-06-24,0.123
2012-07-01,0.124
2012-07-08,0.133
2012-07-15,0.140
2012-07-22,0.141
2012-07-29,0.122
2012-08-05,0.109
2012-08-12,0.115
2012-08-19,0.115
2012-08-26,0.116
2012-09-02,0.112
2012-09-09,0.113
2012-09-16,0.115
2012-09-23,0.118
2012-09-30,0.118
2012-10-07,0.118
2012-10-14,0.119
2012-10-21,0.127
2012-10-28,0.128
2012-11-04,0.115
2012-11-11,0.117
2012-11-18,0.120
2012-11-25,0.118
2012-12-02,0.116
2012-12-09,0.115
2012-12-16,0.118
2012-12-23,0.126
2012-12-30,0.126
2013-01-06,0.141
2013-01-13,0.142
2013-01-20,0.152
2013-01-27,0.169
2013-02-03,0.185
2013-02-10,0.184
2013-02-17,0.193
2013-02-24,0.167
2013-03-03,0.162
2013-03-10,0.142
2013-03-17,0.123
2013-03-24,0.143
2013-03-31,0.157
2013-04-07,0.196
2013-04-14,0.219
2013-04-21,0.217
2013-04-28,0.270
2013-05-05,0.252
2013-05-12,0.228
2013-05-19,0.230
2013-05-26,0.250
2013-06-02,0.314
2013-06-09,0.441
2013-06-16,0.417
2013-06-23,0.306
2013-06-30,0.236
2013-07-07,0.222
2013-07-14,0.189
2013-07-21,0.171
